week_date	week_category	week_id	section_name	event_content
2019-3-24	Undergraduate and Graduate Students	4F206D4A0011E5CF2540EF23F30FEDED	Athletics and Sporting Events	Women’s Basketball: ND vs. MSU (NCAA Tournament Second Round) Monday, March 25; 7 p.m. in Purcell Pavilion, Joyce Center
2019-3-24	Undergraduate and Graduate Students	4F206D4A0011E5CF2540EF23F30FEDED	Athletics and Sporting Events	Baseball vs. Chicago State Tuesday, March 26; 6 p.m. at Eck Baseball Stadium
2019-3-24	Undergraduate and Graduate Students	4F206D4A0011E5CF2540EF23F30FEDED	Athletics and Sporting Events	Softball vs. Western Michigan Wednesday, March 27; 5:30 p.m. at Melissa Cook Stadium
2019-3-24	Undergraduate and Graduate Students	4F206D4A0011E5CF2540EF23F30FEDED	Athletics and Sporting Events	Women’s Tennis (free, non-ticketed) vs. Georgia Tech: Friday, March 29; 3:30 p.m. inside Eck Tennis Pavilion or outside at Courtney Tennis Center vs. Duke: Sunday, March 31; noon
2019-3-24	Undergraduate and Graduate Students	4F206D4A0011E5CF2540EF23F30FEDED	Athletics and Sporting Events	Men’s Lacrosse vs. Syracuse Saturday, March 30; noon at Arlotta Stadium Women’s Lacrosse vs. North Carolina Sunday, March 31; 1 p.m. at Arlotta Stadium
2019-3-24	Undergraduate and Graduate Students	4F206D4A0011E5CF2540EF23F30FEDED	Health and Recreation	SkyZone Trampoline Fun with FlipSide Join Flipside for a jumping fun time at Sky Zone Trampoline Park. We will Uber to Sky Zone for two hours of action. The cost is only $15 and includes two hours of trampolining and transportation. Space is limited, so sign up soon and please remember to pay in advance to secure your spot! Saturday, March 30; 7:45 p.m. leave from the Main Circle
2019-3-24	Undergraduate and Graduate Students	4F206D4A0011E5CF2540EF23F30FEDED	Faith and Service	Islam Awareness Week The Muslim Students’ Association of Notre Dame has planned several activities throughout the week to celebrate Islamic faith and culture. Look forward to a Hijab distribution, Islamophobia workshop, a dessert crawl and cultural night, a Halaqa, the annual lslam Awareness Week Dinner and more! We hope you will participate actively, that you will bring friends and family and that by the end you will recognize Islam and its message of love and peace. See the poster for details and RSVP for the events here. Saturday through Friday, March 23-29; at various locations across campus
2019-3-24	Undergraduate and Graduate Students	4F206D4A0011E5CF2540EF23F30FEDED	Faith and Service	Ecumenical Common Prayer All are welcome to join the Notre Dame community and guests from around the world in praying for unity among Christians. This ecumenical prayer service will be led by members of the Notre Dame community. The homily will be preached by Rev. Canon Hugh Page Jr., vice president and associate provost for undergraduate affairs. Honored guests will include senior leaders from the Anglican, Lutheran, Methodist, Reformed and Roman Catholic communities. See the poster for more information. A reception will follow in the Main Building. Tuesday, March 26; 7:30 p.m. in the Basilica of the Sacred Heart
2019-3-24	Undergraduate and Graduate Students	4F206D4A0011E5CF2540EF23F30FEDED	Faith and Service	Stories of Grace Hear members of the Notre Dame community share how they have learned to see God active in their daily life. Featured storytellers are Wynn Brown, Class of 2019, Duncan Hall; Carolyn Cleary, Class of 2021, PE Hall; and Jackie Sardina, assistant rector in PW and M.Div. student. All are welcome. Sponsored by the McGrath Institute for Church Life. Wednesday, March 27; 7 to 8 p.m. in the Geddes Hall Chapel
2019-3-24	Undergraduate and Graduate Students	4F206D4A0011E5CF2540EF23F30FEDED	Lectures and Presentations	Who’s at the Table? First Person Stories on Identity and Culture How does living in a new place invite us to consider our story in new ways? Join ISSA as we talk about unexpected explorations of identity and culture at Notre Dame, especially for those living in the U.S for the first time. We have invited two students — Linh Nguyen, a Ph.D. from Vietnam, and John Prendergast, a Foreign Fulbright Program from Ireland, to share the ways in which their encounters with U.S. and Notre Dame culture have inspired reflections on their story, identity and culture. RSVP here (lunch provided). Monday, March 25; noon to 1 p.m. in Room W134, Duncan Student Center
2019-3-24	Undergraduate and Graduate Students	4F206D4A0011E5CF2540EF23F30FEDED	Lectures and Presentations	Cortright v. Resor: A Re-enactment In 1970, David Cortright , then a young army specialist, filed suit against the United States Army. Cortright and other members of the 26th Army Band at Fort Hamilton, New York, alleged that the Army had denied them their First Amendment right to speak out against the Vietnam War. The case reached all the way to the United States Supreme Court. Join the Kroc Institute and the Notre Dame Law School for a re-enactment of this historic court case featuring Hon. Denny Chin, R. Scott Appleby, Michael Desch, George A. Lopez, Ann Mische and Atalia Omer. Monday, March 25; 12:30 p.m. in the Patrick F. McCartan Courtroom, Notre Dame Law School
2019-3-24	Undergraduate and Graduate Students	4F206D4A0011E5CF2540EF23F30FEDED	Lectures and Presentations	Digital Humanities Speaker Series: “Who Wrote Chaucer’s Books? DH and the Problem with Answers” Alexandra Gillespie, professor of English and medieval studies and the director of the Old Books New Science Lab at the University of Toronto. Sponsored by the Digital Humanities Steering Committee, College of Arts and Letters and Hesburgh Libraries. Tuesday, March 26; noon to 1 p.m. in the Scholars Lounge, Hesburgh Library
2019-3-24	Undergraduate and Graduate Students	4F206D4A0011E5CF2540EF23F30FEDED	Lectures and Presentations	Lecture: “Corporate Control of Governments and Democratic Backsliding: Evidence from West Africa” A lecture by Leonard Wantchekon, professor of political science, Princeton University; Kellogg Visiting Fellow. Tuesday, March 26; 12:30 p.m. in Room C103, Hesburgh Center
2019-3-24	Undergraduate and Graduate Students	4F206D4A0011E5CF2540EF23F30FEDED	Lectures and Presentations	Work-Life Balance Session: “Positive Psychology for Stress Management” All ND graduate students, postdocs and early-career scientists are invited to join the session. Facilitators: Kiersten Eberle Medina and Kallie Kobold, University Counseling Center. Presented by the Postdoctoral Women’s Committee. Register here . Tuesday, March 26; 2 to 3 p.m. in Room 307, Saint Liam Hall
2019-3-24	Undergraduate and Graduate Students	4F206D4A0011E5CF2540EF23F30FEDED	Lectures and Presentations	2019 Human Dignity Lecture: “The Primacy of Reproductive Health and Rights and the Rise of Ideological Neo-colonialism” Obianuju “Uju” Ekeocha is the founder and president of Culture of Life Africa, and author of “Target Africa: Ideological Neo-colonialism of the Twenty-first Century.” Tuesday, March 26; 7 to 8 p.m. in the Eck Visitors Center, reception to follow
2019-3-24	Undergraduate and Graduate Students	4F206D4A0011E5CF2540EF23F30FEDED	Lectures and Presentations	Panel Discussion: “After Listening to Puerto Rico: Prospects for Further Faculty and Student Engagement” Want to join the next steps in engagement with Puerto Rico? Faculty from across the University will present the findings from their recent Puerto Rico Faculty Seminar. Lunch is provided for those who RSVP. Wednesday, March 27; 11 a.m. to 12:30 p.m. in the Coffee House, Geddes Hall A Conversation with Sandow Birk Renowned artist Sandow Birk speaks about how his creative images accompanying the Qur’an and “Divine Comedy” raise questions about the limits of interpretation, the relationship of text and image, and the role of the arts in social and political critique. Wednesday, March 27; 4 to 5 p.m. in Rare Books and Special Collections (Room 102), Hesburgh Library
2019-3-24	Undergraduate and Graduate Students	4F206D4A0011E5CF2540EF23F30FEDED	Lectures and Presentations	Seminar: “Explainable Artificial Intelligence via Representer Points” Professor Pradeep Ravikumar, Carnegie Mellon University, will propose to explain the predictions of a specific class of machine learning models, namely deep neural networks, by pointing to the set of what we call representer points in the training set, for a given test point prediction. Wednesday, March 27; 4 to 5 p.m. in Room 102, DeBartolo Hall Lecture: “Encountering Chinese Art in the Digital Age” Utilizing recent developments in graphic technology, digital image processing and artificial intelligence, the work of Diao Changyu, Chen Haitao and Chen Qi celebrates the potential impact of digital technologies on the interpretation, study and conversation of Chinese religious art. Wednesday, March 27; 5 to 6:30 p.m. in the Annenberg Auditorium, Snite Museum of Art
